,3869,3875,4924,4923,4214,4216,4217,3874,3881,3880,3870,3871,4213,3872,3873,3878,3877,3876
2021-11-16,2.0,2.0,2.25,4.5,1.75,2.0,0.01,2.0,0.01,0.01,2.5,0.01,0.01,0.01,2.0,0.01,0.01,0.01
2021-11-17,2.0,2.0,0.01,5.0,1.75,3.75,0.01,2.0,0.01,0.01,5.25,0.01,2.25,0.01,0.01,0.01,0.01,0.01
2021-11-18,4.0,0.01,3.5,4.75,0.01,3.5,1.75,4.0,1.75,1.75,5.25,2.0,0.01,0.01,2.0,0.01,2.25,4.0
2021-11-19,6.25,2.25,4.5,18.25,3.5,5.25,0.01,4.0,0.01,0.01,8.0,6.25,4.25,4.25,4.0,0.01,0.01,2.25
2021-11-20,4.0,2.0,9.75,12.0,3.5,3.5,1.75,0.01,1.75,1.75,10.0,8.0,6.0,6.0,2.0,2.0,2.0,2.0
2021-11-21,8.25,4.0,15.5,24.0,1.75,2.0,2.0,6.0,6.75,0.01,10.25,6.5,6.5,4.25,4.25,2.0,2.5,4.0
2021-11-22,6.75,4.0,7.5,10.25,2.25,4.0,5.75,8.5,5.25,1.75,5.25,6.25,4.0,4.0,2.25,4.25,8.25,8.25
2021-11-23,10.75,6.0,14.0,15.75,3.25,3.0,9.0,8.0,6.25,5.25,13.25,8.5,6.5,8.75,6.5,6.0,6.0,6.0
2021-11-24,2.25,0.01,3.0,6.5,5.25,3.5,1.75,0.01,0.01,0.01,5.25,4.25,4.0,2.0,4.0,0.01,0.01,0.01
2021-11-25,2.0,0.01,0.01,2.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2021-11-26,2.0,0.01,0.01,3.0,0.01,0.01,2.0,0.01,0.01,0.01,2.5,0.01,0.01,2.0,0.01,0.01,0.01,0.01
2021-11-27,10.5,4.0,14.25,14.25,5.25,8.75,5.25,6.0,3.5,1.75,17.75,4.75,8.0,6.5,6.25,4.25,0.01,8.25
2021-11-28,10.0,6.5,11.75,31.5,1.75,1.75,1.75,4.0,3.5,0.01,15.25,12.0,8.0,8.5,6.5,0.01,2.25,6.25
2021-11-29,8.25,0.01,3.0,4.5,5.75,4.0,4.0,2.0,5.75,2.25,2.5,4.25,2.0,2.0,0.01,2.0,4.0,4.0
2021-11-30,6.25,4.0,7.0,13.75,3.75,4.75,5.25,4.25,5.5,2.0,7.75,8.5,8.5,4.25,4.25,2.0,2.0,4.0
2021-12-01,4.0,0.01,15.75,14.75,0.01,0.01,0.01,0.01,0.01,0.01,7.5,4.0,0.01,2.25,2.25,0.01,0.01,0.01
2021-12-02,4.0,2.25,4.75,8.5,0.01,1.75,1.75,4.25,0.01,0.01,0.01,2.0,2.0,2.0,2.25,0.01,0.01,2.25
2021-12-03,2.0,4.0,7.0,7.0,0.01,5.25,0.01,4.0,1.75,1.75,7.5,6.0,0.01,2.0,0.01,0.01,0.01,4.0
2021-12-04,8.25,4.0,15.5,19.5,0.01,0.01,1.75,6.25,1.75,1.75,10.0,8.0,8.5,6.5,5.15,2.0,4.0,4.0
2021-12-05,10.25,2.0,14.0,17.0,7.0,4.5,3.5,4.25,3.5,3.5,7.75,10.25,6.5,6.25,8.25,2.0,2.0,2.0
2021-12-06,4.0,2.0,3.25,7.25,4.25,5.75,3.5,4.0,1.75,1.75,5.0,4.0,2.0,2.0,0.01,0.01,2.0,4.0
2021-12-07,4.0,0.01,4.75,9.75,3.5,3.75,5.5,2.0,0.01,0.01,5.0,4.25,4.0,2.0,4.0,2.0,4.0,2.0
2021-12-08,8.25,2.0,10.0,17.75,0.01,1.75,1.75,0.01,0.01,0.01,10.25,6.0,4.0,2.0,4.0,4.25,4.25,2.0
2021-12-09,4.0,2.0,5.0,6.0,2.0,5.5,2.0,2.0,0.01,0.01,2.5,2.0,2.0,0.01,0.01,0.01,2.0,2.0
2021-12-10,2.0,0.01,5.75,9.75,0.01,0.01,0.01,0.01,0.01,0.01,7.75,4.0,0.01,0.01,0.01,0.01,0.01,0.01
2021-12-11,12.25,10.5,16.0,24.5,7.0,7.0,5.25,6.5,7.0,5.25,15.25,6.25,6.25,8.0,6.5,8.5,8.5,8.5
2021-12-12,13.0,6.25,14.5,23.75,3.75,8.25,4.25,6.5,1.75,0.01,13.0,6.5,8.25,6.25,4.0,0.01,0.01,2.0
2021-12-13,4.25,4.0,4.75,17.0,0.01,0.01,5.25,0.01,5.25,0.01,5.25,4.25,0.01,0.01,2.0,4.0,4.0,4.0
2021-12-14,8.0,2.0,3.25,11.75,9.25,7.5,7.25,6.0,3.5,2.0,11.75,8.0,8.25,6.25,6.25,4.25,4.25,4.25
2021-12-15,4.0,2.0,7.25,7.75,3.75,1.75,0.01,0.01,0.01,0.01,7.5,2.0,0.01,4.0,0.01,0.01,0.01,0.01
2021-12-16,0.01,2.0,2.5,3.25,0.01,1.75,1.75,2.0,1.75,1.75,5.0,0.01,2.0,0.01,0.01,0.01,0.01,2.0
2021-12-17,6.0,8.25,14.75,18.5,1.75,5.5,1.75,6.25,3.5,0.01,2.5,4.0,4.0,2.0,2.0,4.0,4.0,6.25
2021-12-18,10.25,4.25,13.75,15.25,9.5,9.25,7.0,6.25,3.5,2.25,2.75,8.25,10.25,8.25,8.25,6.25,4.25,4.25
2021-12-19,8.0,4.0,8.5,24.0,8.75,5.25,7.0,6.0,5.25,3.75,15.0,12.25,8.25,8.25,6.25,4.0,4.0,2.0
2021-12-20,4.25,2.25,4.75,7.0,0.01,1.75,2.5,2.25,6.5,0.01,0.01,4.0,2.0,6.25,4.25,4.25,4.25,2.25
2021-12-21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2021-12-22,10.0,2.0,6.75,12.25,1.75,4.0,1.75,0.01,1.75,4.5,10.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0
2021-12-23,8.25,4.0,4.5,18.25,1.75,1.75,3.5,4.0,5.5,3.5,0.01,6.0,8.0,2.0,4.0,2.0,2.0,4.0
2021-12-24,4.25,0.01,5.0,10.75,0.01,0.01,1.75,6.75,0.01,0.01,2.75,6.5,6.5,4.5,4.5,2.0,2.25,2.25
2021-12-25,0.01,0.01,3.75,11.5,0.01,0.01,0.01,2.0,1.75,0.01,5.0,6.0,4.0,4.0,4.0,4.0,4.0,2.0
2021-12-26,8.25,2.0,13.25,16.0,3.5,3.5,5.25,2.0,1.75,3.5,8.0,8.25,6.25,4.0,2.0,2.0,4.0,4.0
2021-12-27,8.0,4.0,3.0,7.75,5.5,4.0,5.25,2.0,3.5,1.75,2.5,4.0,2.0,2.0,2.0,0.01,4.0,2.0
2021-12-28,8.25,2.0,6.5,16.25,1.75,3.5,0.01,2.0,0.01,0.01,7.75,0.01,4.0,2.0,4.0,0.01,0.01,0.01
2021-12-29,4.25,2.0,0.01,10.25,5.25,1.75,3.5,4.0,0.01,0.01,0.01,4.25,4.0,0.01,0.01,0.01,2.0,2.0
2021-12-30,6.5,4.0,5.75,13.25,1.75,7.0,3.5,6.0,1.75,0.01,5.25,2.0,2.0,4.0,2.25,0.01,2.0,6.0
2021-12-31,10.0,4.0,10.5,13.25,1.75,6.0,4.0,6.25,4.25,0.01,5.25,4.0,6.25,4.25,5.75,0.01,4.0,2.0
2022-01-01,0.01,0.01,0.5,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2022-01-02,4.25,4.0,2.25,6.0,4.0,7.5,5.25,4.0,1.75,0.01,7.5,2.25,2.0,2.0,2.0,0.01,4.0,0.01
2022-01-03,8.25,2.0,14.25,13.75,2.0,3.75,5.5,4.0,1.75,0.01,5.0,6.0,6.0,4.0,2.0,0.01,0.01,2.0
2022-01-04,4.0,4.25,5.75,9.5,0.01,3.5,0.01,2.25,0.01,0.01,8.0,6.25,0.01,2.0,4.25,0.01,4.25,0.01
2022-01-05,4.25,2.0,2.5,4.75,1.75,3.5,2.0,2.0,5.5,3.75,2.75,2.0,4.0,4.0,4.0,2.5,2.0,0.01
2022-01-06,2.25,0.01,4.5,1.0,0.01,1.75,0.01,2.25,0.01,0.01,2.75,2.25,0.01,2.0,4.25,0.01,2.25,0.01
2022-01-07,8.0,8.5,14.75,17.75,4.0,5.75,5.0,8.5,4.25,6.5,18.25,8.5,10.5,10.5,8.5,6.0,6.25,2.25
2022-01-08,6.0,4.25,7.0,10.25,5.25,7.25,7.0,4.25,5.25,5.5,10.0,4.25,6.25,4.25,4.25,2.0,2.0,4.25
2022-01-09,6.25,0.01,11.25,8.0,5.25,0.01,0.01,0.01,0.01,0.01,5.0,4.5,4.5,2.25,4.25,0.01,0.01,0.01
2022-01-10,8.0,6.0,9.75,15.75,0.01,4.25,5.25,2.0,3.5,0.01,12.5,4.0,8.0,10.0,4.0,2.0,2.0,2.0
2022-01-11,6.25,2.0,11.0,16.0,0.01,0.01,0.01,2.25,0.01,0.01,5.25,6.0,6.25,8.25,4.25,4.25,2.25,2.25
2022-01-12,2.0,0.5,13.75,0.01,3.75,3.75,4.0,2.0,3.75,3.75,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0
2022-01-13,6.25,0.01,17.75,0.01,1.75,0.01,5.25,2.0,0.01,0.01,5.25,8.25,8.25,2.25,2.25,0.01,0.01,0.01
2022-01-14,8.25,4.0,16.75,19.25,2.25,4.5,3.5,4.0,1.75,0.01,12.5,8.25,6.25,6.0,6.0,0.01,2.0,2.0
2022-01-15,10.0,2.0,4.75,7.0,7.75,3.5,5.25,2.25,3.75,0.01,7.5,4.0,4.0,2.0,2.0,2.25,2.25,2.25
2022-01-16,10.5,2.0,8.75,20.75,1.75,1.75,0.01,2.0,0.01,0.01,2.5,6.25,8.5,4.25,4.0,0.01,0.01,0.01
2022-01-17,4.25,2.0,3.25,11.0,3.75,4.0,1.75,2.0,3.5,3.0,5.0,4.0,10.0,3.5,2.0,2.0,2.0,2.0
2022-01-18,6.0,0.01,2.25,4.5,5.25,7.25,5.25,4.0,3.75,7.0,5.25,4.0,4.25,6.25,6.0,4.0,6.25,4.25
2022-01-19,10.25,0.01,8.0,12.5,1.75,0.01,0.01,0.01,0.01,0.01,10.75,2.0,6.25,2.0,2.25,0.01,0.01,0.01
2022-01-20,8.25,2.0,4.75,12.5,1.75,0.01,1.75,4.25,1.75,0.01,7.75,2.25,2.0,2.0,2.0,2.25,2.25,0.01
2022-01-21,2.0,6.5,13.75,13.0,0.01,3.75,0.01,6.5,0.01,0.01,5.0,6.25,4.25,6.25,6.5,2.25,2.25,2.25
2022-01-22,10.5,6.25,11.75,11.75,1.75,3.5,3.48,4.0,3.75,3.5,5.25,2.0,4.0,4.0,8.0,2.0,2.0,4.0
2022-01-23,6.5,2.25,12.75,25.25,1.75,3.5,0.01,2.25,1.75,0.01,7.5,0.01,8.25,6.25,4.0,0.01,4.25,2.25
2022-01-24,4.25,0.01,5.5,9.0,3.5,3.5,3.75,6.0,0.01,0.01,7.75,4.25,6.25,2.0,4.25,0.01,2.0,2.0
2022-01-25,6.0,2.25,2.25,6.75,1.75,0.01,2.25,2.25,1.75,0.01,5.5,2.25,2.25,0.01,2.0,2.25,2.25,4.25
2022-01-26,0.01,0.01,0.01,2.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.25,0.01,0.01,0.01
2022-01-27,4.0,2.0,2.75,7.25,0.01,1.75,3.5,2.0,0.01,1.75,2.75,4.0,0.01,2.0,2.0,2.0,0.01,0.01
2022-01-28,6.25,6.25,17.25,25.5,1.75,6.53,5.25,4.25,3.5,3.5,15.25,12.25,12.25,12.25,8.25,4.25,4.25,6.25
2022-01-29,4.0,0.01,6.75,5.75,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.0,2.25,2.25,2.25,2.25,2.25,2.25
2022-01-30,10.25,6.0,12.25,18.75,9.75,7.5,7.5,6.0,5.75,1.75,10.0,6.0,6.25,6.25,6.25,6.0,6.0,6.0
2022-01-31,0.25,4.0,0.01,2.75,2.0,4.25,3.75,4.0,0.01,0.01,0.01,2.0,0.01,0.01,0.01,0.01,0.01,2.0
2022-02-01,8.0,0.01,7.5,7.25,1.75,3.75,0.01,4.0,1.75,1.75,5.0,4.25,4.25,4.25,2.0,0.01,4.0,4.0
2022-02-02,0.01,0.01,0.01,3.5,0.01,0.01,0.01,0.01,1.75,0.01,0.01,0.01,2.25,2.25,2.25,1.5,2.0,0.01
2022-02-03,4.25,0.01,0.01,4.5,0.01,2.0,3.5,4.25,4.25,3.5,0.01,2.0,2.0,2.0,4.25,2.25,2.0,4.25
2022-02-04,4.0,4.25,7.5,14.25,0.01,3.5,1.75,4.25,1.75,0.01,10.0,4.0,6.0,4.0,4.25,2.0,2.25,2.25
2022-02-05,6.5,4.25,9.5,13.25,3.75,5.25,5.25,6.5,3.5,1.75,5.25,6.5,8.5,4.25,8.5,4.25,2.0,4.0
2022-02-06,8.25,4.0,10.25,23.5,4.0,3.5,3.5,4.0,1.75,0.01,12.5,2.25,6.25,6.25,4.25,0.01,4.0,4.0
2022-02-07,6.0,4.0,7.0,7.0,0.01,4.75,7.75,6.0,0.01,0.01,10.0,4.0,6.0,2.0,0.01,0.01,2.0,2.0
2022-02-08,4.0,6.5,12.25,15.25,5.25,5.25,5.5,4.0,4.0,4.0,7.5,8.0,8.0,6.25,4.25,2.25,6.5,6.25
2022-02-09,6.0,2.0,8.5,5.0,0.01,1.75,1.75,2.0,0.01,0.01,2.5,2.0,4.0,4.0,2.0,2.0,0.01,2.0
2022-02-10,6.5,4.25,13.25,15.75,1.75,1.75,3.5,4.0,0.01,0.01,10.5,4.25,2.25,4.25,2.0,4.0,4.0,4.25
2022-02-11,10.0,4.25,14.0,25.75,7.25,3.5,1.75,4.25,3.75,0.01,15.0,8.0,6.0,8.25,8.25,2.0,6.25,4.25
2022-02-12,6.25,2.0,0.01,4.75,4.0,5.25,2.25,2.0,3.75,2.0,5.0,2.0,4.0,2.0,2.0,0.01,0.01,0.01
2022-02-13,12.0,6.25,16.0,23.0,5.75,7.25,8.75,8.0,5.25,3.5,10.25,4.0,6.25,8.25,8.25,8.5,6.5,8.5
2022-02-14,2.0,2.0,0.01,14.75,2.0,2.25,3.75,6.0,5.5,0.01,2.5,2.0,2.0,2.0,2.0,0.01,2.0,4.0
2022-02-15,4.0,2.25,13.0,16.25,3.5,3.5,2.0,2.0,4.0,1.75,7.75,4.25,2.25,4.0,2.25,4.25,4.5,4.25
2022-02-16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2022-02-17,8.5,0.01,5.0,11.0,1.75,3.75,1.75,0.01,1.75,3.5,7.5,4.25,4.25,4.25,4.25,2.0,2.0,4.0
2022-02-18,10.25,0.01,6.75,21.0,0.01,3.75,3.75,2.0,3.5,1.75,10.0,6.0,8.0,4.0,5.5,2.0,2.25,2.0
2022-02-19,8.5,8.0,4.75,15.25,1.75,7.25,7.0,8.5,1.75,1.75,2.5,6.25,6.5,6.0,6.25,4.25,4.25,6.5
2022-02-20,10.25,2.0,18.25,17.0,3.5,7.0,7.0,4.0,8.5,4.45,17.75,6.25,10.0,6.0,6.0,4.0,4.0,4.0
2022-02-21,8.25,2.5,15.5,19.25,3.5,4.25,3.75,2.25,3.5,1.75,13.0,8.0,6.0,2.0,2.0,4.0,4.0,6.25
2022-02-22,4.0,4.0,4.5,15.75,0.01,0.01,1.75,4.0,3.5,0.01,5.0,0.01,0.01,4.25,4.25,2.25,2.25,4.25
2022-02-23,4.0,0.01,0.01,2.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2022-02-24,8.25,2.0,10.0,18.24,0.01,3.5,1.75,0.01,1.75,1.75,10.5,6.0,4.25,2.0,2.0,2.0,2.0,2.0
2022-02-25,6.0,0.01,7.25,15.25,3.5,0.01,3.5,2.0,3.5,1.75,7.5,4.0,8.0,8.0,6.0,4.0,4.0,2.0
2022-02-26,0.01,2.0,0.01,0.01,0.01,1.75,1.75,0.01,3.5,1.75,2.5,2.0,0.01,0.01,0.01,0.01,2.0,2.0
2022-02-27,8.5,6.25,5.0,17.5,7.0,7.0,3.5,8.25,7.0,8.75,10.25,6.25,4.0,8.25,6.25,4.0,6.0,4.25
2022-02-28,4.25,0.01,5.25,8.0,3.0,0.01,0.01,0.01,0.01,0.01,5.0,2.25,2.0,2.0,0.01,0.01,0.01,0.01
2022-03-01,10.25,8.25,13.25,16.5,0.01,0.01,1.75,4.25,3.5,1.75,8.0,4.0,6.0,2.0,0.01,2.0,4.25,6.5
2022-03-02,8.0,2.0,10.0,11.25,3.5,5.25,5.75,2.0,3.5,1.75,5.0,8.0,8.25,4.25,0.01,2.0,4.0,0.01
2022-03-03,8.5,4.5,14.0,8.25,1.75,0.01,8.0,4.5,2.75,0.01,5.25,8.5,4.25,4.25,2.0,2.25,4.5,4.5
2022-03-04,6.0,2.0,12.25,15.25,0.01,0.01,1.75,0.01,0.01,0.01,15.0,6.0,6.0,6.0,4.0,0.01,0.01,0.01
2022-03-05,4.0,2.0,13.75,11.75,5.25,3.5,3.5,4.0,1.75,1.75,2.5,6.0,6.0,8.25,8.25,6.0,8.0,6.0
2022-03-06,6.25,4.5,8.5,19.75,4.0,4.0,5.75,4.25,3.5,0.01,10.25,4.25,8.5,4.25,2.25,4.0,4.25,4.5
2022-03-07,4.0,6.0,2.25,17.25,0.01,0.01,0.01,6.0,1.75,0.01,8.0,4.0,2.25,0.01,0.01,2.0,2.0,6.0
2022-03-08,8.25,4.0,5.0,9.25,1.75,1.75,1.75,4.0,3.5,0.01,7.75,2.0,4.0,0.01,4.0,4.25,2.0,0.01
2022-03-09,8.0,4.0,11.75,13.0,1.75,7.0,1.75,2.0,7.0,1.75,5.0,6.0,4.0,2.0,0.01,2.0,8.0,4.0
2022-03-10,10.25,0.01,7.5,10.0,0.01,0.01,0.01,4.5,1.75,0.01,2.75,8.0,2.0,2.25,2.25,2.0,2.0,0.01
2022-03-11,4.0,0.01,9.0,12.0,1.75,0.01,0.01,4.0,0.01,0.01,7.75,6.0,6.0,4.0,4.0,0.01,2.0,2.0
2022-03-12,6.0,0.01,4.75,12.0,0.01,0.01,1.75,2.0,0.01,0.01,5.25,2.0,4.5,4.25,2.25,0.01,2.25,2.25
2022-03-13,8.5,10.25,17.75,22.5,7.75,12.0,11.25,10.5,9.75,11.75,15.0,6.25,8.25,10.75,12.5,6.0,10.5,14.5
2022-03-14,4.0,2.0,4.75,7.25,1.75,3.5,1.75,2.0,1.75,1.75,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.5
2022-03-15,2.0,0.01,3.0,4.5,2.0,2.0,0.01,0.01,0.01,0.01,2.5,0.01,2.0,2.0,0.01,0.01,0.01,0.01
2022-03-16,6.0,4.0,5.75,12.75,3.5,5.25,1.75,4.0,7.0,3.5,10.0,4.0,2.0,2.0,4.0,8.0,2.0,2.0
2022-03-17,6.5,4.0,12.25,9.75,0.01,0.01,0.01,2.25,0.01,1.0,2.75,4.5,4.5,4.25,0.01,4.0,2.0,0.01
2022-03-18,6.0,0.01,15.5,9.5,0.01,1.75,1.75,4.0,0.01,6.25,7.5,6.0,8.0,6.0,6.0,4.0,0.01,0.01
2022-03-19,6.25,2.25,8.25,11.5,0.01,4.75,3.5,2.25,1.75,1.75,12.5,2.25,4.25,4.25,6.5,2.25,0.01,2.25
2022-03-20,10.0,6.5,7.75,26.0,7.0,9.25,9.25,4.0,5.25,9.0,12.5,8.0,10.25,4.25,4.25,6.0,8.0,6.5
2022-03-21,6.25,2.0,8.0,13.5,0.01,3.5,3.75,4.0,3.5,1.75,5.0,4.0,4.0,2.25,0.01,4.0,4.0,6.25
2022-03-22,4.0,2.0,0.01,8.5,1.75,1.75,0.01,2.0,0.01,0.01,5.0,4.25,0.01,2.0,2.25,0.01,0.01,2.0
2022-03-23,4.0,0.01,2.5,9.5,0.01,5.25,1.75,0.01,0.01,0.01,2.5,4.0,4.0,0.01,2.0,4.25,4.25,2.25
2022-03-24,6.0,6.0,4.5,14.0,3.5,6.5,1.75,2.0,3.5,1.75,12.75,2.25,4.25,2.25,4.25,0.01,2.0,2.0
2022-03-25,6.0,0.01,18.25,22.75,0.01,1.75,1.75,6.0,0.01,0.01,17.75,8.0,10.0,8.0,6.0,0.01,0.01,0.01
2022-03-26,8.0,2.0,7.5,11.75,2.25,7.25,9.0,6.25,1.75,0.01,15.25,8.25,4.5,4.25,4.25,0.01,2.25,2.0
2022-03-27,15.0,6.5,16.5,26.25,8.75,8.75,7.0,8.5,7.0,4.0,18.25,12.5,8.5,12.75,10.75,8.25,10.25,8.25
2022-03-28,4.0,2.0,5.0,5.25,0.01,0.01,3.5,2.0,1.75,0.01,2.5,2.0,0.01,2.0,2.0,4.0,4.0,0.01
2022-03-29,6.0,2.0,2.25,7.75,2.75,4.5,1.75,2.0,0.01,0.01,2.5,2.0,2.0,2.0,2.0,0.01,2.0,2.0
2022-03-30,10.0,4.0,2.25,11.5,1.75,1.75,5.25,4.25,5.25,5.25,10.0,2.0,2.0,2.0,4.25,6.25,6.25,2.25
2022-03-31,4.25,4.25,10.25,13.25,1.75,4.25,2.25,2.0,2.25,0.01,2.75,2.25,2.25,2.0,6.25,4.25,4.0,8.25
