,4580,3736,3739,3735,3747,3746
2021-11-16,8.96,1.99,5.97,4.5,2.25,0.01
2021-11-17,0.01,0.01,0.01,0.01,0.01,0.01
2021-11-18,2.24,0.01,3.98,0.01,2.25,0.01
2021-11-19,2.24,1.99,0.01,0.01,2.25,0.01
2021-11-20,8.96,5.97,7.96,4.0,9.0,4.5
2021-11-21,4.48,5.15,7.14,2.0,4.5,2.25
2021-11-22,6.72,3.98,3.98,4.0,2.25,6.75
2021-11-23,2.24,1.99,1.99,0.01,2.25,0.01
2021-11-24,4.48,3.98,1.99,2.0,4.5,0.01
2021-11-25,2.24,2.38,0.01,2.5,2.25,2.25
2021-11-26,2.24,3.16,3.16,0.01,2.25,0.01
2021-11-27,2.24,0.01,1.99,2.0,0.01,2.25
2021-11-28,6.72,1.99,1.99,8.0,9.6,5.1
2021-11-29,4.48,3.98,0.01,0.01,4.5,2.25
2021-11-30,0.01,0.01,0.01,2.0,2.25,0.01
2021-12-01,4.48,0.01,5.97,0.01,0.01,0.01
2021-12-02,2.24,0.01,1.99,0.01,0.01,0.01
2021-12-03,2.24,5.93,5.15,9.5,4.5,6.75
2021-12-04,2.24,3.16,1.99,0.01,2.25,0.01
2021-12-05,0.01,1.99,0.01,2.0,2.25,0.01
2021-12-06,2.24,3.98,0.01,2.0,4.5,4.5
2021-12-07,6.72,0.01,7.14,2.0,0.01,2.25
2021-12-08,2.24,1.99,1.99,7.0,4.5,4.5
2021-12-09,2.24,3.94,1.99,6.0,2.25,2.25
2021-12-10,2.24,1.99,1.99,2.0,2.25,2.25
2021-12-11,2.24,3.16,5.15,0.01,1.35,2.25
2021-12-12,6.72,1.99,5.97,4.0,2.25,4.5
2021-12-13,6.72,3.98,7.96,2.0,6.75,4.5
2021-12-14,0.01,0.01,0.01,0.01,0.01,0.01
2021-12-15,0.01,1.99,0.01,2.0,2.25,2.25
2021-12-16,2.24,1.99,1.99,2.0,2.25,2.25
2021-12-17,0.01,0.01,0.01,2.5,0.01,0.01
2021-12-18,4.48,3.16,5.15,5.5,2.25,4.5
2021-12-19,2.24,11.94,3.98,0.01,20.1,2.25
2021-12-20,8.96,8.74,10.73,6.5,11.55,4.8
2021-12-21,4.48,5.15,5.15,7.5,4.5,6.75
2021-12-22,0.01,0.01,1.99,0.01,0.01,2.25
2021-12-23,4.48,5.54,6.75,2.0,11.25,2.25
2021-12-24,0.01,0.01,0.01,2.0,2.25,0.01
2021-12-25,6.72,5.97,5.97,4.0,2.25,4.5
2021-12-26,4.48,4.76,4.76,0.01,4.5,2.25
2021-12-27,2.24,2.38,4.37,0.01,4.5,0.01
2021-12-28,0.01,0.01,0.01,0.01,0.01,2.25
2021-12-29,0.01,0.01,3.16,0.01,0.01,0.01
2021-12-30,0.01,0.01,1.99,3.0,0.01,4.5
2021-12-31,2.24,3.98,2.38,4.0,4.5,4.5
2022-01-01,2.24,2.38,0.01,2.0,2.25,0.01
2022-01-02,0.01,0.01,0.01,4.0,2.25,4.5
2022-01-03,4.48,0.01,1.99,0.01,0.01,0.01
2022-01-04,0.01,0.01,0.01,2.0,0.76,0.01
2022-01-05,0.01,1.99,0.01,2.0,2.99,0.01
2022-01-06,2.24,1.99,1.99,2.0,2.25,2.25
2022-01-07,2.24,3.98,3.98,4.0,4.5,4.5
2022-01-08,2.24,1.99,1.99,2.0,2.25,0.01
2022-01-09,2.24,0.01,1.99,0.01,0.01,0.01
2022-01-10,4.48,1.99,3.98,0.01,2.25,0.01
2022-01-11,0.01,0.01,3.98,0.01,2.25,0.01
2022-01-12,2.24,1.99,5.97,2.0,2.25,2.25
2022-01-13,2.24,1.99,3.98,2.0,4.5,2.25
2022-01-14,4.48,5.97,7.96,6.0,4.5,9.0
2022-01-15,0.01,1.99,5.15,4.5,4.8,6.75
2022-01-16,0.01,0.01,0.01,0.01,2.25,0.01
2022-01-17,8.96,7.96,5.97,0.01,6.75,0.01
2022-01-18,2.24,1.99,0.01,6.0,2.25,4.5
2022-01-19,6.72,3.98,5.97,4.0,6.75,4.5
2022-01-20,0.01,1.99,0.01,4.0,4.5,4.5
2022-01-21,4.48,0.01,4.37,4.5,0.01,9.0
2022-01-22,11.2,2.38,10.34,4.0,4.5,2.25
2022-01-23,4.48,3.98,5.97,4.0,8.91,2.25
2022-01-24,0.01,0.01,0.01,2.0,0.01,2.25
2022-01-25,0.01,0.01,3.98,2.0,4.5,2.25
2022-01-26,0.01,1.99,0.01,2.0,2.25,2.25
2022-01-27,6.72,1.99,5.97,4.5,2.25,5.1
2022-01-28,2.24,0.01,0.01,2.0,0.01,0.01
2022-01-29,2.24,0.01,1.99,2.0,4.5,0.01
2022-01-30,2.24,4.37,1.99,2.0,6.75,0.01
2022-01-31,4.48,5.15,5.54,0.01,4.5,0.01
2022-02-01,0.01,0.01,0.01,2.0,2.25,0.01
2022-02-02,6.72,1.99,5.97,4.0,4.5,4.5
2022-02-03,2.24,0.01,1.99,0.01,0.01,0.01
2022-02-04,2.24,1.99,2.38,4.0,2.25,4.8
2022-02-05,8.96,1.99,7.14,8.0,2.25,7.65
2022-02-06,6.72,0.01,8.35,6.0,4.5,4.8
2022-02-07,2.24,4.37,2.38,4.0,4.5,4.8
2022-02-08,0.01,0.01,0.01,0.01,0.01,0.01
2022-02-09,4.48,0.01,5.97,0.01,0.01,0.01
2022-02-10,2.24,1.99,3.98,0.01,2.25,0.01
2022-02-11,4.48,3.98,1.99,0.01,4.5,2.25
2022-02-12,15.68,11.94,14.32,8.0,15.0,11.55
2022-02-13,4.48,3.98,5.97,4.0,4.5,4.5
2022-02-14,0.01,0.01,0.01,0.01,0.01,0.01
2022-02-15,2.24,0.01,1.99,2.0,2.25,0.01
2022-02-16,4.48,0.01,4.37,6.0,4.5,4.5
2022-02-17,6.72,7.53,6.75,2.5,4.5,2.55
2022-02-18,2.24,2.77,4.76,4.5,4.5,4.5
2022-02-19,4.48,1.99,3.98,2.0,2.25,2.25
2022-02-20,2.24,1.99,1.99,0.01,2.25,1.32
2022-02-21,8.96,1.99,5.97,12.0,4.5,9.0
2022-02-22,0.01,0.01,0.01,0.01,0.01,0.01
2022-02-23,0.01,0.01,0.01,0.01,0.01,0.01
2022-02-24,8.96,0.01,6.75,4.0,2.55,2.55
2022-02-25,0.01,0.01,0.01,2.0,0.01,2.25
2022-02-26,8.96,6.36,7.96,5.0,9.3,4.5
2022-02-27,6.72,1.99,5.97,0.01,2.25,0.01
2022-02-28,0.01,0.01,0.01,0.01,0.01,0.01
2022-03-01,2.24,3.98,0.01,2.0,2.25,2.25
2022-03-02,0.01,0.01,0.01,4.0,0.01,4.5
2022-03-03,4.48,0.01,3.39,4.0,0.01,7.05
2022-03-04,2.24,0.01,5.54,4.0,4.5,4.8
2022-03-05,2.24,5.54,3.16,2.0,4.5,2.25
2022-03-06,11.2,5.97,13.93,4.0,9.0,6.75
2022-03-07,0.01,1.99,0.01,0.01,2.25,0.01
2022-03-08,2.24,1.99,1.99,2.0,2.25,2.25
2022-03-09,0.01,0.01,0.01,4.0,2.25,4.5
2022-03-10,8.96,3.94,8.74,5.93,4.5,4.5
2022-03-11,4.48,4.37,2.38,2.0,6.75,6.75
2022-03-12,2.24,0.01,3.98,2.0,0.01,2.25
2022-03-13,6.72,3.98,5.97,2.0,6.75,0.01
2022-03-14,0.01,0.01,1.99,2.0,2.25,2.25
2022-03-15,2.24,1.99,1.99,2.0,4.5,2.25
2022-03-16,2.24,1.99,3.98,0.01,2.25,0.01
2022-03-17,8.96,3.98,9.09,4.5,6.75,6.75
2022-03-18,6.72,5.15,2.77,2.5,6.75,2.25
2022-03-19,2.24,4.37,4.37,4.0,4.5,4.5
2022-03-20,4.48,1.99,1.99,8.0,4.5,4.5
2022-03-21,2.24,0.01,2.38,6.0,4.5,2.25
2022-03-22,4.48,1.99,0.01,4.0,4.5,0.01
2022-03-23,4.48,1.99,1.99,0.01,0.01,0.01
2022-03-24,2.24,0.01,6.71,2.0,4.5,2.25
2022-03-25,4.48,1.99,4.37,9.0,4.8,6.75
2022-03-26,2.24,4.76,2.77,4.5,7.05,4.5
2022-03-27,4.48,5.97,1.99,0.01,7.05,0.01
2022-03-28,6.72,0.01,7.96,4.0,2.25,2.25
2022-03-29,2.24,0.01,3.98,4.0,2.25,2.25
2022-03-30,0.01,0.01,0.01,0.01,0.01,0.01
2022-03-31,6.72,4.37,8.35,2.0,6.75,2.25
2022-04-01,3.98,0.01,4.76,6.0,4.5,4.5
2022-04-02,17.92,0.01,20.29,4.0,9.0,2.25
2022-04-03,4.48,1.99,5.97,2.0,4.5,4.5
2022-04-04,4.48,0.01,3.98,4.0,4.5,2.25
2022-04-05,0.01,0.01,0.01,0.01,0.01,0.01
2022-04-06,4.48,2.38,1.99,2.0,4.5,2.25
2022-04-07,2.24,2.77,2.77,4.0,4.5,2.25
2022-04-08,0.01,0.01,1.99,10.5,9.3,7.35
2022-04-09,4.48,1.99,3.98,2.0,2.25,4.5
2022-04-10,6.72,1.99,10.34,8.0,9.0,4.5
2022-04-11,2.24,0.01,3.98,4.0,4.5,2.25
2022-04-12,0.01,0.01,0.01,4.0,2.25,4.5
2022-04-13,6.72,4.76,6.36,4.5,4.5,4.5
2022-04-14,4.48,0.01,5.15,5.5,2.55,4.8
2022-04-15,4.48,3.98,5.15,6.0,4.8,6.75
2022-04-16,0.01,0.01,1.99,0.01,2.25,1.81
2022-04-17,2.24,1.99,1.99,0.01,2.25,0.01
2022-04-18,0.01,1.99,1.99,6.0,5.1,7.05
2022-04-19,0.01,0.01,0.01,4.0,2.25,4.8
2022-04-20,4.48,4.37,3.98,4.0,4.5,7.05
2022-04-21,4.48,0.01,2.38,5.5,4.5,2.25
2022-04-22,4.48,4.76,6.75,4.0,2.25,6.75
2022-04-23,0.01,1.99,0.01,0.01,4.5,0.01
2022-04-24,6.72,3.98,6.36,6.0,6.75,6.75
2022-04-25,6.72,5.97,7.96,4.0,6.75,4.5
2022-04-26,0.01,0.01,1.99,4.0,2.25,4.5
2022-04-27,0.01,0.01,0.01,2.0,2.25,1.22
2022-04-28,4.48,1.99,3.98,0.01,2.25,0.01
2022-04-29,0.01,0.01,1.99,6.0,2.25,6.75
2022-04-30,11.2,0.01,9.95,0.01,0.01,0.01
2022-05-01,0.01,0.01,1.99,2.0,2.25,2.25
2022-05-02,2.24,0.01,1.99,4.0,4.5,4.5
2022-05-03,2.24,0.01,3.98,2.0,4.5,4.5
2022-05-04,6.72,2.77,2.77,4.0,4.5,2.25
2022-05-05,11.2,2.38,5.93,6.31,7.05,9.6
2022-05-06,11.2,8.35,7.96,8.5,9.3,9.6
2022-05-07,6.72,3.98,3.98,2.0,2.25,2.25
2022-05-08,0.01,0.01,0.01,2.0,0.01,2.25
2022-05-09,6.72,1.99,5.97,2.0,2.25,4.5
2022-05-10,2.24,0.01,2.77,0.01,0.01,0.01
2022-05-11,2.24,0.01,3.94,14.0,7.05,9.0
2022-05-12,2.24,1.99,1.99,2.0,2.25,2.25
2022-05-13,4.48,0.01,3.98,2.0,0.01,2.25
2022-05-14,8.96,4.76,8.74,6.5,7.05,7.35
2022-05-15,0.01,0.01,0.01,0.01,0.01,0.01
2022-05-16,4.48,1.99,3.98,2.0,2.25,2.25
2022-05-17,4.48,3.98,4.76,2.0,6.75,2.25
2022-05-18,0.01,0.01,0.01,2.0,0.01,0.01
2022-05-19,4.48,11.12,5.3,0.01,7.05,9.3
2022-05-20,2.24,1.99,3.98,2.0,4.5,4.5
2022-05-21,0.01,0.01,0.01,0.01,0.01,0.01
2022-05-22,6.72,5.97,5.97,4.0,6.75,4.5
2022-05-23,0.01,0.01,0.01,2.0,2.25,4.5
2022-05-24,2.24,1.99,5.54,2.0,2.25,2.25
2022-05-25,0.01,0.01,1.99,2.0,4.5,4.5
2022-05-26,4.48,3.16,6.75,0.01,2.25,2.25
2022-05-27,4.48,3.69,3.98,4.0,4.8,4.8
2022-05-28,6.72,7.96,7.96,4.0,6.75,4.8
2022-05-29,0.01,2.38,0.01,4.0,2.25,4.5
2022-05-30,0.01,0.01,0.01,2.0,0.01,2.25
2022-05-31,4.48,4.76,4.76,4.0,4.5,4.5
2022-06-01,2.24,2.77,2.77,0.01,2.25,0.01
2022-06-02,11.2,2.38,9.95,8.0,7.05,7.35
2022-06-03,0.01,0.01,1.99,4.0,4.5,4.5
2022-06-04,4.48,5.97,3.98,5.0,6.75,4.8
2022-06-05,2.24,3.98,1.99,7.0,4.8,7.05
2022-06-06,0.01,0.01,0.01,2.0,2.25,2.25
2022-06-07,4.48,0.01,3.98,4.0,2.25,4.5
2022-06-08,8.96,8.35,1.99,6.0,4.8,7.05
2022-06-09,0.01,0.01,0.01,2.0,0.01,2.25
2022-06-10,0.01,0.01,0.01,2.0,0.01,2.25
2022-06-11,2.24,0.01,1.99,2.0,2.25,2.25
2022-06-12,4.48,6.36,5.97,0.01,4.5,0.01
2022-06-13,2.24,1.99,0.01,6.5,4.8,9.3
2022-06-14,4.48,7.96,3.98,9.5,9.0,11.25
2022-06-15,0.01,0.01,0.01,0.01,0.01,0.01
2022-06-16,6.72,6.75,8.35,2.0,6.75,2.25
2022-06-17,0.01,0.01,0.01,2.0,2.25,2.25
2022-06-18,2.24,1.99,1.99,2.0,6.75,2.25
2022-06-19,4.48,1.99,1.99,4.0,4.5,0.01
2022-06-20,2.24,0.01,1.99,2.0,2.25,0.01
2022-06-21,11.2,8.74,10.73,8.0,9.6,11.85
2022-06-22,2.24,4.37,1.99,2.0,4.5,0.01
2022-06-23,2.24,0.01,0.01,2.0,0.01,4.8
2022-06-24,8.96,3.98,5.97,2.0,4.5,7.05
2022-06-25,2.24,3.98,2.77,4.0,2.25,2.25
2022-06-26,6.72,1.99,1.99,6.0,4.5,4.8
2022-06-27,2.24,1.99,1.99,2.0,2.25,2.25
2022-06-28,0.01,0.01,0.01,0.01,0.01,0.01
2022-06-29,0.01,0.01,0.01,2.0,0.01,2.25
2022-06-30,2.24,1.99,1.99,0.01,2.25,0.01
2022-07-01,0.01,0.01,0.01,2.0,0.01,2.25
2022-07-02,0.01,0.01,0.01,0.01,0.01,0.01
2022-07-03,0.01,0.01,0.01,4.0,4.5,2.25
2022-07-04,0.01,0.01,3.98,2.0,2.55,2.25
2022-07-05,0.01,0.01,0.01,0.01,0.01,0.01
2022-07-06,0.01,1.99,0.01,0.01,2.25,0.01
2022-07-07,6.72,6.36,4.37,4.0,4.5,4.5
2022-07-08,0.01,0.01,0.01,0.01,0.01,0.01
2022-07-09,2.24,3.98,0.01,9.31,5.1,9.6
2022-07-10,6.72,3.98,11.94,4.0,6.75,6.75
2022-07-11,0.01,0.01,1.99,0.01,4.8,0.01
2022-07-12,2.24,3.98,3.98,2.0,2.25,4.5
2022-07-13,6.72,2.77,7.53,2.0,4.5,2.25
2022-07-14,2.24,1.99,1.99,2.0,2.25,2.25
2022-07-15,0.01,0.01,0.01,2.0,0.01,2.25
2022-07-16,4.48,3.98,1.99,2.0,4.8,2.55
2022-07-17,6.72,5.97,5.97,8.0,9.6,9.3
2022-07-18,4.48,3.98,3.98,2.0,7.35,0.01
2022-07-19,2.24,6.36,2.77,4.0,9.0,0.01
2022-07-20,2.24,1.99,1.99,0.01,2.25,2.25
2022-07-21,2.24,1.99,2.77,2.0,2.55,4.8
2022-07-22,2.24,0.01,1.99,2.0,0.01,2.25
2022-07-23,0.01,0.01,0.01,0.01,0.01,2.25
2022-07-24,6.72,5.97,5.97,6.0,6.75,6.75
2022-07-25,4.48,1.99,1.99,4.0,2.25,4.5
2022-07-26,4.48,2.24,2.24,4.5,2.25,0.01
2022-07-27,2.24,4.87,2.63,4.5,2.25,4.5
2022-07-28,4.48,5.26,2.24,6.75,7.65,7.05
2022-07-29,2.24,2.24,2.24,6.75,2.25,7.05
2022-07-30,8.96,8.96,8.96,4.5,9.0,4.5
2022-07-31,0.01,0.01,0.01,0.01,0.01,0.01
2022-08-01,0.01,2.24,0.01,4.5,2.17,4.5
2022-08-02,0.01,0.01,0.01,2.25,0.01,4.5
2022-08-03,2.24,2.24,2.63,2.25,2.55,2.25
2022-08-04,6.72,4.48,2.24,4.5,4.8,7.05
2022-08-05,2.24,0.01,2.24,4.5,2.25,2.25
2022-08-06,0.01,0.01,0.01,2.25,2.25,2.25
2022-08-07,8.96,6.72,8.96,6.75,7.05,6.75
2022-08-08,4.48,0.01,4.48,2.25,4.5,4.5
2022-08-09,2.24,0.01,3.02,0.01,2.25,0.01
2022-08-10,0.01,0.01,0.01,0.01,0.01,2.25
2022-08-11,0.01,0.01,0.01,4.5,2.25,0.01
2022-08-12,8.96,8.96,9.35,2.25,9.3,4.8
2022-08-13,2.24,2.63,0.01,4.5,2.25,2.25
2022-08-14,2.24,2.24,2.24,2.25,2.25,2.25
2022-08-15,0.01,0.01,0.01,2.25,0.01,2.25
2022-08-16,8.96,2.24,10.52,4.5,4.5,2.25
